timer                                            ms      calls
sequential initialization                       921          1
  Computing links for translation units         203          1
  xfer symbol cache                              31          1
  Computing virtual overrides                    47          1
  Computing callgraph                           234          1
  Topologically sorting functions                78          1
  (left over)                                   328
Computing node costs                            156          1
Analysis run                                  10249          1
  BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                0          2
  CALL_SUPER_STAT                                 0          2
  CHECKED_RETURN_STAT                             0          2
  NON_STATIC_GUARDING_STATIC_STAT                 0          2
  VOLATILE_ATOMICITY_STAT                         0          2
  loadFromEmit                                 4825      15804
    VOLATILE_ATOMICITY_STAT                       0       5255
    RELAX_NULL_RETURN                             0       5255
    RELAX_ALLOC                                   0       5255
    LOCK_FINDER_TOPDOWN                           0         41
    OVERFLOW_BEFORE_WIDEN_pass1                  15       5255
    BAD_LOCK_OBJECT_pass1                        16       5255
    CALL_SUPER                                    0       5255
    LOCK_EVASION                                  0       5255
    NON_STATIC_GUARDING_STATIC                   63       5255
    NULL_RETURNS_pass1                           15       5255
    GUARDED_BY_VIOLATION_pass1                    0         54
    (left over)                                4716
  IFACE_TRACKER                                   0          4
  LOCK_FINDER_BOTTOMUP                            0          2
  RELAX_ALLOC                                     0          2
  RELAX_BENIGN_CLOSURE                            0          2
  RELAX_CHECKED_RETURN                            0          2
  RELAX_CLOSE_RESOURCE                            0          2
  RELAX_DEREF_ARGS                                0          2
  RELAX_GETLOCK                                   0          2
  RELAX_LOCKS                                     0          2
  RELAX_NOTHING                                   0          2
  RELAX_NULL_RETURN                               0          2
  RELAX_PARAM_NAMES                               0          2
  LOCK_FINDER_TOPDOWN                             0         41
  BAD_LOCK_OBJECT_pass1                           0          1
  BAD_LOCK_OBJECT_pass2                           0          1
  CALL_SUPER                                      0          2
  CONSTANT_EXPRESSION_RESULT                      0          2
  COPY_PASTE_ERROR                                0          2
  DEADCODE_pass1                                  0          1
  DEADCODE_pass2                                  0          1
  FORWARD_NULL_pass1                              0          1
  FORWARD_NULL_pass2                              0          1
  FUNCTION_METRICS                              358       5257
  GUARDED_BY_VIOLATION_pass1                      0          1
  GUARDED_BY_VIOLATION_pass2                      0          1
  IDENTICAL_BRANCHES                              0          2
  LOCK_EVASION                                    0          2
  NESTING_INDENT_MISMATCH                         0          2
  NON_STATIC_GUARDING_STATIC                      0          2
  NULL_RETURNS_pass1                              0          1
  NULL_RETURNS_pass2                              0          1
  OVERFLOW_BEFORE_WIDEN_pass1                     0          1
  OVERFLOW_BEFORE_WIDEN_pass2                     0          1
  RESOURCE_LEAK_pass1                             0          1
  RESOURCE_LEAK_pass2                             0          1
  REVERSE_INULL                                   0          2
  STRAY_SEMICOLON                                 0          2
  SWAPPED_ARGUMENTS                               0          2
  UNEXPECTED_CONTROL_FLOW                         0          2
  UNINTENDED_INTEGER_DIVISION                     0          2
  UNREACHABLE                                     0          2
  VOLATILE_ATOMICITY_pass1                        0          1
  VOLATILE_ATOMICITY_pass2                        0          1

activity                                         ms      calls
--------------------------------------------------------------
LOCK_FINDER_BOTTOMUP                              0          3
RELAX_GETLOCK                                     0          3
RELAX_LOCKS                                       0          3
DUMMY_DERIVER_CONCURRENCY                         0          1
IFACE_TRACKER                                     0         10
LOCK_FINDER_TOPDOWN                               0         83
LOCK_ORDER                                        0          1
ARRAY_VS_SINGLETON_pass2                          0          1
ARRAY_VS_SINGLETON_pass1                          0          1
ASSERT_SIDE_EFFECT                                0          1
BAD_ALLOC_ARITHMETIC                              0          1
BAD_ALLOC_STRLEN                                  0          1
BAD_CHECK_OF_WAIT_COND                            0          1
BAD_COMPARE                                       0          1
BAD_FREE_pass2                                    0          1
BAD_FREE_pass1                                    0          1
BAD_LOCK_OBJECT_pass2                             0          2
BAD_LOCK_OBJECT_pass1                            16       5257
BAD_SIZEOF                                        0          1
CALL_SUPER                                        0       5258
CHAR_IO                                           0          1
CHECKED_RETURN_pass2                              0          1
CHECKED_RETURN_pass1                              0          1
COM.BAD_FREE_pass2                                0          1
COM.BAD_FREE_pass1                                0          1
COM.BSTR.CONV                                     0          1
CONSTANT_EXPRESSION_RESULT                        0          3
COPY_PASTE_ERROR                                  0          3
CTOR_DTOR_LEAK_pass2                              0          1
CTOR_DTOR_LEAK_pass1                              0          1
DEADCODE_pass1                                    0          2
DEADCODE_pass2                                    0          2
DELETE_ARRAY_pass2                                0          1
DELETE_ARRAY_pass1                                0          1
DELETE_VOID                                       0          1
USE_AFTER_FREE_pass2                              0          1
USE_AFTER_FREE_pass1                              0          1
EVALUATION_ORDER                                  0          1
EXPLICIT_THIS_EXPECTED_pass2                      0          1
EXPLICIT_THIS_EXPECTED_pass1                      0          1
FORWARD_NULL_pass2                                0          2
FORWARD_NULL_pass1                                0          2
GUARDED_BY_VIOLATION_pass2                        0          2
GUARDED_BY_VIOLATION_pass1                        0         56
IDENTICAL_BRANCHES                                0          3
INFINITE_LOOP                                     0          1
INVALIDATE_ITERATOR                               0          1
INVALIDATE_ITERATOR_pass2                         0          2
INVALIDATE_ITERATOR_pass1                         0          2
LOCK_EVASION                                      0       5258
LOCK_INVERSION_pass2                              0          1
LOCK_INVERSION_pass1                              0          1
MISSING_BREAK                                     0          1
MISSING_RETURN_pass2                              0          1
MISSING_RETURN_pass1                              0          1
NEGATIVE_RETURNS_pass2                            0          1
NEGATIVE_RETURNS_pass1                            0          1
NESTING_INDENT_MISMATCH                           0          3
NO_EFFECT                                         0          1
NON_STATIC_GUARDING_STATIC                       63       5258
NULL_RETURNS_pass2                                0          2
NULL_RETURNS_pass1                               15       5257
OVERFLOW_BEFORE_WIDEN_pass2                       0          2
OVERFLOW_BEFORE_WIDEN_pass1                      15       5257
OVERRUN_pass2                                     0          1
OVERRUN_pass1                                     0          1
OVERRUN_SYMBOLIC_pass2                            0          1
OVERRUN_SYMBOLIC_pass1                            0          1
PASS_BY_VALUE                                     0          1
READLINK_pass2                                    0          1
READLINK_pass1                                    0          1
RESOURCE_LEAK_pass2                               0          2
RESOURCE_LEAK_pass1                               0          2
RETURN_LOCAL_pass2                                0          1
RETURN_LOCAL_pass1                                0          1
REVERSE_NEGATIVE_pass2                            0          1
REVERSE_NEGATIVE_pass1                            0          1
REVERSE_INULL                                     0          3
SIGN_EXTENSION                                    0          1
SIZEOF_MISMATCH                                   0          1
STRAY_SEMICOLON                                   0          3
