2018-05-18 12:23:15.287 | 50195 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:23:15.297 | 50205 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:23:15.319 | 50227 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:23:15.323 | 50231 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:23:15.326 | 50234 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:23:15.330 | 50238 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:23:15.332 | 50240 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:23:15.334 | 50242 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-18 12:23:15.340 | 50248 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-18 12:23:15.343 | 50251 | AMSA\bzaino [ 9] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-18 12:23:15.345 | 50253 | AMSA\bzaino [ 9] DEBUG | Logger                                             .InsertUserProfileResponses(int userId, IList<MemberProfileAnswer> responses) - Begin Method 
2018-05-18 12:23:15.358 | 50266 | AMSA\bzaino [ 9] DEBUG | Logger                                             .InsertUserProfileResponses(int userId, IList<MemberProfileAnswer> responses) - End Method 
2018-05-18 13:41:18.761 | 7029 | AMSA\bzaino [ 1] DEBUG | Logger                                             .SetUserData user, Member originalUser) - Begin Method 
2018-05-18 13:41:18.788 | 7056 | AMSA\bzaino [ 1] DEBUG | Logger                                             .SetUserData user, Member originalUser) - End Method 
2018-05-18 13:41:18.799 | 7067 | AMSA\bzaino [12] DEBUG | Logger                                             .SetUserData user, Member originalUser) - Begin Method 
2018-05-18 13:41:18.803 | 7071 | AMSA\bzaino [12] DEBUG | Logger                                             .SetUserData user, Member originalUser) - End Method 
2018-05-18 14:37:20.078 | 4684 | AMSA\bzaino [ 8] DEBUG | Logger                                             .SetUserData user, Member originalUser) - Begin Method 
2018-05-18 14:37:20.099 | 4705 | AMSA\bzaino [ 8] DEBUG | Logger                                             .SetUserData user, Member originalUser) - End Method 
2018-05-18 14:37:20.496 | 5102 | AMSA\bzaino [43] DEBUG | Logger                                             .SetUserData user, Member originalUser) - Begin Method 
2018-05-18 14:37:20.502 | 5108 | AMSA\bzaino [43] DEBUG | Logger                                             .SetUserData user, Member originalUser) - End Method 
