2018-05-10 13:33:51.700 | 34840 | AMSA\bzaino [10] DEBUG | Logger                                             .SetUserData user, Member originalUser) - Begin Method 
2018-05-10 13:33:51.756 | 34896 | AMSA\bzaino [10] DEBUG | Logger                                             .SetUserData user, Member originalUser) - End Method 
2018-05-10 13:33:57.304 | 40444 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-10 13:33:57.386 | 40526 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-10 13:33:57.390 | 40530 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-10 13:33:57.392 | 40532 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-10 13:33:57.396 | 40536 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-10 13:33:57.397 | 40537 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-10 13:33:57.400 | 40540 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-10 13:33:57.407 | 40547 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-10 13:33:57.409 | 40549 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-10 13:33:57.411 | 40551 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-10 13:33:57.419 | 40559 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-10 13:33:57.421 | 40561 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-10 13:33:57.456 | 40596 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-10 13:33:57.477 | 40617 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-10 13:33:57.479 | 40619 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
2018-05-10 13:33:57.481 | 40621 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - Begin Method 
2018-05-10 13:33:57.486 | 40626 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - No Record was found to be deleted 
2018-05-10 13:33:57.488 | 40628 | AMSA\bzaino [51] DEBUG | Logger                                             .DeleteUserProfileResponses(int userId, int profileQuestionExternalID) - End Method 
